id,prec,tem,ws,wd,hum,press,pm2_5
110011989,0,14.59,2.25,175.42,68.08,724.79,18.28
1100133515,0,16.76,2.24,123.25,59.77,725.74,24.09
1100148548,0,10.39,0.77,312,80.07,726.03,22.34
110016386,0,11.65,1.99,221.06,60.9,725.48,4.7
1100116625,0,10.9,0.72,157.95,87.77,726.19,19.93
1100138284,0,10.95,1.48,190.19,51.83,727.84,25.66
1100157774,0,12.14,1.04,224.76,71.22,723.56,16.55
1100168634,4.8,14.11,2.44,190.3,89.26,724.4,42.26
1100156048,0,18.77,1.43,106.32,49.12,721.08,21.2
1100114454,0,14.48,1.26,0,52.99,724.82,42.13
1100127193,0.4,14.73,2.28,0,77.13,726.15,19.49
1100140623,0,15.9,1.79,149.08,70.15,727.84,42.69
1100142019,0,14.98,2.38,9.8,60.89,727.79,23.09
1100116311,0,12.91,1.07,101.62,87.44,724.43,15.56
110015787,0,12.79,1.5,99.74,71.55,726.98,31.43
1100143233,0,15.34,3.03,11.07,66.01,726.09,18.75
1100148457,0,12.69,0.97,125.04,61.05,727.84,18.74
1100123551,0.2,9.97,1.59,194.1,91.77,727.8,34.52
1100171834,0,12.88,0.91,231.1,63.12,726.8,6.86
1100136190,0,10.97,0.92,255.61,85.22,727.57,4.89
1100124072,0.2,11.85,1.46,164.6,88.54,726.06,22.93
1100158630,0,15.59,2.56,9.2,62.78,721.17,16.37
1100151095,0,12.71,1.52,162.84,92.38,726.18,25.13
1100135081,0.6,11.8,1.09,139.38,96.08,727.81,9.78
1100120523,0,8.93,0.84,276.49,85.5,726.18,19.86
1100156490,0,9.91,1.2,106.44,98.89,722.05,13.64
1100144894,0,18.46,2.22,20.08,42.83,727.34,19.35
1100121784,0,18.89,1.82,119.63,41.82,727.18,8.5
110019266,3.2,10.62,0.72,103.18,93.65,725.51,14.85
1100129305,0,19.21,3.99,92.41,35.56,726.14,2.4
1100133247,0,10.71,0.8,146.51,97.99,724.54,11.22
1100141661,0.9,10.97,2.16,36.04,92.69,725.81,3.69
1100157656,0.5,10.9,1.39,139.92,96.59,724.63,5.62
1100170353,0,15.67,1.26,316.7,51.47,726.32,8.48
1100159643,0.7,12,1.26,105,93.57,722.36,16.83
